system:index,id,mean,.geo
0,4094,27.47423553466797,"{""type"":""Point"",""coordinates"":[-118.47950281078494,35.73429188580542]}"
1,4095,17.971457708847897,"{""type"":""Point"",""coordinates"":[-118.62668683320085,35.735400822963484]}"
2,4096,27.47423553466797,"{""type"":""Point"",""coordinates"":[-118.47950882834158,35.73423225050536]}"
3,4097,8.289099835320444,"{""type"":""Point"",""coordinates"":[-118.43377642661002,35.77460736133401]}"
4,4098,14.255825971890896,"{""type"":""Point"",""coordinates"":[-118.98618687136353,35.45321872910825]}"
5,4099,9.463353324069963,"{""type"":""Point"",""coordinates"":[-118.98663225711441,35.45114410215561]}"
6,4100,1.1424311399459839,"{""type"":""Point"",""coordinates"":[-119.11426767804848,35.73280903847804]}"
7,4101,0.0,"{""type"":""Point"",""coordinates"":[-119.06748271495499,35.75771111763604]}"
8,4102,0.0,"{""type"":""Point"",""coordinates"":[-119.21414444208538,35.71521983563147]}"
9,4103,1.4715489149093628,"{""type"":""Point"",""coordinates"":[-119.2252258167914,35.75322088949811]}"
10,4104,1.1431132555007935,"{""type"":""Point"",""coordinates"":[-119.15639307268242,35.780195775416225]}"
11,4105,2.7802885155287553,"{""type"":""Point"",""coordinates"":[-118.83588003247668,35.17189789365889]}"
12,4106,2.9297118186950684,"{""type"":""Point"",""coordinates"":[-118.75190856367641,35.23124197346703]}"
13,4107,4.507656097412109,"{""type"":""Point"",""coordinates"":[-118.80114676415107,34.781364377714446]}"
14,4108,15.330644607543945,"{""type"":""Point"",""coordinates"":[-118.8492443471909,34.827541047483045]}"
15,4109,4.5098652839660645,"{""type"":""Point"",""coordinates"":[-118.93113838912626,34.82175311040121]}"
16,4110,2.9400360584259033,"{""type"":""Point"",""coordinates"":[-118.45338090159417,35.70289555489511]}"
17,4111,10.51765251159668,"{""type"":""Point"",""coordinates"":[-118.49773996473974,35.60687391021977]}"
18,4112,1.4704344272613525,"{""type"":""Point"",""coordinates"":[-118.33484216236658,35.65292616322853]}"
19,4113,34.38139724731445,"{""type"":""Point"",""coordinates"":[-118.44069813597696,35.647381596608625]}"
20,4114,8.14627456665039,"{""type"":""Point"",""coordinates"":[-118.48242622151315,35.643156676826905]}"
21,4115,11.116242408752441,"{""type"":""Point"",""coordinates"":[-118.51442730411166,35.53882021627682]}"
22,4116,22.62718391418457,"{""type"":""Point"",""coordinates"":[-118.52010293660628,35.444007053797215]}"
23,4117,16.135135650634766,"{""type"":""Point"",""coordinates"":[-118.43184949974972,35.369476951628045]}"
24,4118,15.723955154418945,"{""type"":""Point"",""coordinates"":[-118.4027088076832,35.21439404104809]}"
25,4119,0.0,"{""type"":""Point"",""coordinates"":[-118.37659505045552,35.12385616729025]}"
26,4120,1.133643388748169,"{""type"":""Point"",""coordinates"":[-118.42957700184472,35.110550978798486]}"
27,4121,2.172987334586733,"{""type"":""Point"",""coordinates"":[-118.53124132807898,35.10960013573801]}"
28,4122,2.1729893684387207,"{""type"":""Point"",""coordinates"":[-118.37910214985752,35.10978913107757]}"
29,4123,12.139888763427734,"{""type"":""Point"",""coordinates"":[-118.37664856085274,35.086803626856245]}"
30,4124,10.630104064941406,"{""type"":""Point"",""coordinates"":[-118.36256283678686,35.058872942733416]}"
31,4125,23.897199630737305,"{""type"":""Point"",""coordinates"":[-118.35718795587562,35.092023916032076]}"
32,4126,7.141463279724121,"{""type"":""Point"",""coordinates"":[-118.35783761719742,35.104637781082715]}"
33,4127,2.448134422302246,"{""type"":""Point"",""coordinates"":[-118.3791964861763,35.098754645338666]}"
34,4128,7.8714280128479,"{""type"":""Point"",""coordinates"":[-118.30650346553345,35.16590524086397]}"
35,4129,31.057926177978516,"{""type"":""Point"",""coordinates"":[-118.32154994501558,35.103546175700345]}"
36,4130,4.887120723724365,"{""type"":""Point"",""coordinates"":[-118.37206992270698,35.093731283784635]}"
37,4131,9.109699249267578,"{""type"":""Point"",""coordinates"":[-118.31580640575585,35.052954711578494]}"
38,4132,9.109699249267578,"{""type"":""Point"",""coordinates"":[-118.31596295908541,35.05295975280891]}"
39,4133,6.830500602722168,"{""type"":""Point"",""coordinates"":[-118.31024625181584,35.07846198742755]}"
40,4134,9.7822265625,"{""type"":""Point"",""coordinates"":[-118.31306480769166,35.07336290271281]}"
41,4135,3.5841972827911377,"{""type"":""Point"",""coordinates"":[-118.30692668233117,35.078493898766034]}"
42,4136,1.132852554321289,"{""type"":""Point"",""coordinates"":[-118.24802367515379,35.05356910966919]}"
43,4137,0.9274099368611016,"{""type"":""Point"",""coordinates"":[-118.08946041782589,34.988896533526585]}"
44,4138,3.5806877613067627,"{""type"":""Point"",""coordinates"":[-118.09778543460234,34.87667856194587]}"
45,4139,1.4615718126296997,"{""type"":""Point"",""coordinates"":[-118.14436150863374,34.83574734142878]}"
46,4140,5.012704372406006,"{""type"":""Point"",""coordinates"":[-118.19794549270824,34.83661640957207]}"
47,4141,1.1290416717529297,"{""type"":""Point"",""coordinates"":[-118.24564321130492,34.7768573106985]}"
48,4142,2.255910634994507,"{""type"":""Point"",""coordinates"":[-118.28387170693581,34.72954076813719]}"
49,4143,2.170757532119751,"{""type"":""Point"",""coordinates"":[-118.28207059835277,34.798954143700044]}"
50,4144,2.4470365047454834,"{""type"":""Point"",""coordinates"":[-118.26994271600599,35.05594583666065]}"
51,4145,1.4637962579727173,"{""type"":""Point"",""coordinates"":[-118.27659463517396,35.04428326407272]}"
52,4146,0.0,"{""type"":""Point"",""coordinates"":[-118.27382233766758,35.04950513836216]}"
53,4147,9.986124038696289,"{""type"":""Point"",""coordinates"":[-118.3207511362421,35.060887796825796]}"
54,4148,2.171745777130127,"{""type"":""Point"",""coordinates"":[-118.28606213080876,34.93728549027565]}"
55,4149,0.9274099469184875,"{""type"":""Point"",""coordinates"":[-118.32107058254115,34.87283006520482]}"
56,4150,16.54553985595703,"{""type"":""Point"",""coordinates"":[-118.30352855306347,34.689498745567924]}"
57,4151,2.172224998474121,"{""type"":""Point"",""coordinates"":[-117.70665591041308,35.003769329050776]}"
58,4152,1.8543341159820557,"{""type"":""Point"",""coordinates"":[-117.70633770919429,35.00376910830284]}"
59,4153,3.0014004707336426,"{""type"":""Point"",""coordinates"":[-117.70340547656176,35.02371733961565]}"
60,4154,5.938101291656494,"{""type"":""Point"",""coordinates"":[-117.7029081349375,35.03054986993852]}"
61,4155,1.8543341688058628,"{""type"":""Point"",""coordinates"":[-117.72850200725857,35.6479533869864]}"
62,4156,0.9274099469184875,"{""type"":""Point"",""coordinates"":[-117.53758273760691,35.645079485378965]}"
63,4157,11.047440528869629,"{""type"":""Point"",""coordinates"":[-119.3036000103768,34.326568527648114]}"
64,4158,20.13271141052246,"{""type"":""Point"",""coordinates"":[-119.2667702082479,34.335304973141916]}"
65,4159,3.488145112991333,"{""type"":""Point"",""coordinates"":[-119.27007942074066,34.271216311293564]}"
66,4160,0.9274099469184875,"{""type"":""Point"",""coordinates"":[-119.24137601665953,34.266158557986365]}"
67,4161,2.9087162017822266,"{""type"":""Point"",""coordinates"":[-119.25117173281627,34.23383829425844]}"
68,4162,1.4557466506958008,"{""type"":""Point"",""coordinates"":[-119.20749591824902,34.2778464755367]}"
69,4163,24.468599319458008,"{""type"":""Point"",""coordinates"":[-119.04548754705216,34.30334277431862]}"
70,4164,11.979580879211426,"{""type"":""Point"",""coordinates"":[-118.85566928311889,34.37944618767089]}"
71,4165,7.872522354125977,"{""type"":""Point"",""coordinates"":[-118.7375576863216,34.3939340389775]}"
72,4166,1.4570541381835938,"{""type"":""Point"",""coordinates"":[-118.81681331890056,34.40453039859127]}"
73,4167,5.809140205383301,"{""type"":""Point"",""coordinates"":[-118.97624196420179,34.396236343636645]}"
74,4168,15.385910987854004,"{""type"":""Point"",""coordinates"":[-118.7541425645021,34.41254710835157]}"
75,4169,6.704133033752441,"{""type"":""Point"",""coordinates"":[-118.59555800285715,34.40819135111619]}"
76,4170,11.010774612426758,"{""type"":""Point"",""coordinates"":[-118.66885704506856,34.35866642582276]}"
77,4171,16.70517921447754,"{""type"":""Point"",""coordinates"":[-118.71358600490872,34.3072061189827]}"
78,4172,20.53407096862793,"{""type"":""Point"",""coordinates"":[-118.67856517957249,34.376897470450835]}"
79,4173,2.7802884578704834,"{""type"":""Point"",""coordinates"":[-118.92207299364271,34.41458272541722]}"
80,4174,12.706889152526855,"{""type"":""Point"",""coordinates"":[-118.91234767811095,34.410052360851104]}"
81,4175,0.0,"{""type"":""Point"",""coordinates"":[-119.04327343291986,34.263642176427915]}"
82,4176,1.8543341159820557,"{""type"":""Point"",""coordinates"":[-118.97073698493767,34.28326324739334]}"
83,4177,1.455715298652649,"{""type"":""Point"",""coordinates"":[-118.92865605737589,34.2748306912719]}"
84,4178,2.1668527126312256,"{""type"":""Point"",""coordinates"":[-118.87787172686986,34.24105354818731]}"
85,4179,2.426251173019409,"{""type"":""Point"",""coordinates"":[-118.85868953303218,34.22782586772573]}"
86,4180,7.235253810882568,"{""type"":""Point"",""coordinates"":[-118.79743564978644,34.15401615882392]}"
87,4181,3.3601419925689697,"{""type"":""Point"",""coordinates"":[-118.85828817026342,34.19481808262836]}"
88,4182,4.57233190536499,"{""type"":""Point"",""coordinates"":[-118.84776378973464,34.230256622457574]}"
89,4183,19.3592472076416,"{""type"":""Point"",""coordinates"":[-118.77848370098741,34.16333302566868]}"
90,4184,3.5686120986938477,"{""type"":""Point"",""coordinates"":[-118.78999824434693,34.163534651078976]}"
91,4185,23.382689507506342,"{""type"":""Point"",""coordinates"":[-119.23726884648539,34.394690015285015]}"
92,4186,6.837124824523926,"{""type"":""Point"",""coordinates"":[-119.17652791413772,34.29806271393487]}"
93,4187,2.910856008529663,"{""type"":""Point"",""coordinates"":[-119.10702472383217,34.33786064997597]}"
94,4188,15.716560363769531,"{""type"":""Point"",""coordinates"":[-119.10854567980732,34.28776713999586]}"
95,4189,2.425746202468872,"{""type"":""Point"",""coordinates"":[-119.0450243805388,34.20712279927422]}"
96,4190,2.2417728900909424,"{""type"":""Point"",""coordinates"":[-119.11945293303143,34.204172409602286]}"
97,4191,1.1215077638626099,"{""type"":""Point"",""coordinates"":[-119.12075366181134,34.21861848344375]}"
98,4192,2.16662335395813,"{""type"":""Point"",""coordinates"":[-119.03495123535644,34.20785277889308]}"
99,4193,1.1218147277832031,"{""type"":""Point"",""coordinates"":[-119.00407632647875,34.241831082230505]}"
100,4194,2.997373104095459,"{""type"":""Point"",""coordinates"":[-119.06280936883972,34.23235251973733]}"
101,4195,1.121518850326538,"{""type"":""Point"",""coordinates"":[-119.10029918060137,34.21926944248343]}"
102,4196,2.4272897243499756,"{""type"":""Point"",""coordinates"":[-119.13372296437016,34.26998272630546]}"
103,4197,4.360292434692383,"{""type"":""Point"",""coordinates"":[-119.16186477099272,34.29549559367221]}"
104,4198,0.0,"{""type"":""Point"",""coordinates"":[-119.13988078557826,34.21078636224872]}"
105,4199,1.1211531162261963,"{""type"":""Point"",""coordinates"":[-119.15010566867875,34.19188112079542]}"
106,4200,1.4547861814498901,"{""type"":""Point"",""coordinates"":[-119.17021346893462,34.18415383627256]}"
107,4201,1.1212897300720215,"{""type"":""Point"",""coordinates"":[-119.10977575336646,34.20197360848944]}"
108,4202,1.4547350406646729,"{""type"":""Point"",""coordinates"":[-119.07382871784375,34.179245907282166]}"
109,4203,1.1212122440338135,"{""type"":""Point"",""coordinates"":[-119.17099025814805,34.19633224987842]}"
110,4204,0.0,"{""type"":""Point"",""coordinates"":[-119.19940981432065,34.18474101388206]}"
111,4205,2.4246225357055664,"{""type"":""Point"",""coordinates"":[-119.18332111891591,34.16151126584013]}"
112,4206,0.0,"{""type"":""Point"",""coordinates"":[-119.18221226572474,34.14183276197028]}"
113,4207,1.4542837142944336,"{""type"":""Point"",""coordinates"":[-119.16583390845845,34.134891360768016]}"
114,4208,1.4543006420135498,"{""type"":""Point"",""coordinates"":[-119.16660353980724,34.13669565434496]}"
115,4209,0.9274099469184875,"{""type"":""Point"",""coordinates"":[-119.13720346224412,34.16209648906161]}"
116,4210,1.454581618309021,"{""type"":""Point"",""coordinates"":[-119.11195238080506,34.164034998758034]}"
117,4211,3.5688564777374268,"{""type"":""Point"",""coordinates"":[-119.14000671278285,34.17836158924174]}"
118,4212,2.4252283573150635,"{""type"":""Point"",""coordinates"":[-119.1422962247099,34.186196219625145]}"
119,4213,0.9274099469184875,"{""type"":""Point"",""coordinates"":[-119.10946830783276,34.147860172273916]}"
120,4214,2.424044609069824,"{""type"":""Point"",""coordinates"":[-119.09660030488271,34.13757609625536]}"
121,4215,2.9067752361297607,"{""type"":""Point"",""coordinates"":[-119.10387875131458,34.13885417889518]}"
122,4216,2.240269660949707,"{""type"":""Point"",""coordinates"":[-119.14197266691502,34.14727544540345]}"
123,4217,2.2403504848480225,"{""type"":""Point"",""coordinates"":[-119.14883474874688,34.150557759937435]}"
124,4218,1.454459547996521,"{""type"":""Point"",""coordinates"":[-119.212626503827,34.15232583846043]}"
125,4219,1.1208137273788452,"{""type"":""Point"",""coordinates"":[-119.19822388841649,34.16661845947166]}"
126,4220,2.4257326126098633,"{""type"":""Point"",""coordinates"":[-119.24856135485099,34.20660840937854]}"
127,4221,4.476688385009766,"{""type"":""Point"",""coordinates"":[-119.24836522351985,34.204077392370934]}"
128,4222,1.1211715936660767,"{""type"":""Point"",""coordinates"":[-119.23403199638051,34.19348350258964]}"
129,4223,3.704791784286499,"{""type"":""Point"",""coordinates"":[-119.23572893920092,34.1904159657052]}"
130,4224,2.1666481494903564,"{""type"":""Point"",""coordinates"":[-119.17655001899558,34.21123044435045]}"
131,4225,0.9274099469184875,"{""type"":""Point"",""coordinates"":[-119.16602964874203,34.24150018035161]}"
132,4226,2.9973607063293457,"{""type"":""Point"",""coordinates"":[-118.94054356302918,34.229842211779896]}"
133,4227,2.9973607063293457,"{""type"":""Point"",""coordinates"":[-118.94060611654619,34.22978206208193]}"
134,4228,5.661940097808838,"{""type"":""Point"",""coordinates"":[-118.92486034878671,34.157943818518476]}"
135,4229,0.0,"{""type"":""Point"",""coordinates"":[-118.95059408125141,34.18017672648888]}"
136,4230,19.50105857849121,"{""type"":""Point"",""coordinates"":[-118.84359948787383,34.28548976320548]}"
137,4231,10.445611000061035,"{""type"":""Point"",""coordinates"":[-118.87149082752478,34.264380433319694]}"
138,4232,4.997329235076904,"{""type"":""Point"",""coordinates"":[-118.80957135589573,34.26972119814201]}"
139,4233,2.9975900650024414,"{""type"":""Point"",""coordinates"":[-118.79655651529839,34.27597348371943]}"
140,4234,1.1223149299621582,"{""type"":""Point"",""coordinates"":[-118.74849497073714,34.27907292779332]}"
141,4235,7.111026763916016,"{""type"":""Point"",""coordinates"":[-118.72840843404626,34.20267699203602]}"
142,4236,2.9973814487457275,"{""type"":""Point"",""coordinates"":[-118.70580750242368,34.23396892646911]}"
143,4237,12.33711051940918,"{""type"":""Point"",""coordinates"":[-118.72223230412399,34.249260880678534]}"
144,4238,7.705285549163818,"{""type"":""Point"",""coordinates"":[-118.6026828745578,34.27671790400219]}"
145,4239,8.27258014678955,"{""type"":""Point"",""coordinates"":[-118.70109041016876,34.22471565571129]}"
146,4240,12.790011405944824,"{""type"":""Point"",""coordinates"":[-118.70506307421286,34.228042024710774]}"
147,4241,3.486618757247925,"{""type"":""Point"",""coordinates"":[-118.70342124859731,34.2315900868086]}"
148,4242,19.439943313598633,"{""type"":""Point"",""coordinates"":[-119.26648810670231,34.326549122943646]}"
149,4243,3.422381639480591,"{""type"":""Point"",""coordinates"":[-117.39661144624245,35.70275645805859]}"
150,4244,0.0,"{""type"":""Point"",""coordinates"":[-117.36839691091164,35.72761325790259]}"
151,4245,2.4456567764282227,"{""type"":""Point"",""coordinates"":[-117.54797529770893,35.001864517065115]}"
152,4246,1.4634836912155151,"{""type"":""Point"",""coordinates"":[-117.55220527775316,35.01487071700469]}"
153,4247,2.9251017570495605,"{""type"":""Point"",""coordinates"":[-117.56184859333894,35.01702147149313]}"
154,4248,1.1323752403259277,"{""type"":""Point"",""coordinates"":[-117.5662156890924,35.01917309415099]}"
155,4249,3.517120361328125,"{""type"":""Point"",""coordinates"":[-117.55555242574097,35.01065676160793]}"
156,4250,2.436042547225952,"{""type"":""Point"",""coordinates"":[-117.10202981787027,34.6221449453698]}"
157,4251,6.83993673324585,"{""type"":""Point"",""coordinates"":[-117.10099839620966,34.62141556428893]}"
158,4252,5.91177225112915,"{""type"":""Point"",""coordinates"":[-117.14223093234061,34.62228098384342]}"
159,4253,8.143251419067383,"{""type"":""Point"",""coordinates"":[-117.33348306215771,34.6032354315088]}"
160,4254,0.9274099469184875,"{""type"":""Point"",""coordinates"":[-117.3266124151338,34.582312545253586]}"
161,4255,5.004631996154785,"{""type"":""Point"",""coordinates"":[-117.39971775922594,34.5411921856475]}"
162,4256,3.8565595685633185,"{""type"":""Point"",""coordinates"":[-117.47930203063676,34.78257993207291]}"
163,4257,1.4588114023208618,"{""type"":""Point"",""coordinates"":[-117.36215869033624,34.57340580497094]}"
164,4258,2.4343738555908203,"{""type"":""Point"",""coordinates"":[-117.35812268356568,34.55570282660802]}"
165,4259,4.3299760149053474,"{""type"":""Point"",""coordinates"":[-114.33627267221185,34.4187118365099]}"
166,4260,7.275187969207764,"{""type"":""Point"",""coordinates"":[-114.2206903455719,34.32207386311182]}"
167,4261,2.427844285964966,"{""type"":""Point"",""coordinates"":[-114.17166058810169,34.29248628652293]}"
168,4262,2.914674758911133,"{""type"":""Point"",""coordinates"":[-117.26192017533249,34.522655009059]}"
169,4263,3.87113881111145,"{""type"":""Point"",""coordinates"":[-117.2933097839712,34.53383986700635]}"
170,4264,2.2506868839263916,"{""type"":""Point"",""coordinates"":[-117.28903688811334,34.53687219763049]}"
171,4265,5.004413604736328,"{""type"":""Point"",""coordinates"":[-117.28998568900157,34.532962527145436]}"
172,4266,5.685436725616455,"{""type"":""Point"",""coordinates"":[-117.34104012555726,34.51676714458176]}"
173,4267,2.4319849014282227,"{""type"":""Point"",""coordinates"":[-117.22504567169585,34.45969080283054]}"
174,4268,0.9274099469184875,"{""type"":""Point"",""coordinates"":[-117.25072758394361,34.42034031309058]}"
175,4269,4.364034652709961,"{""type"":""Point"",""coordinates"":[-117.32723850085037,34.41689121420926]}"
176,4270,0.9274099469184875,"{""type"":""Point"",""coordinates"":[-117.32143053064526,34.409518982334205]}"
177,4271,2.168147325515747,"{""type"":""Point"",""coordinates"":[-117.45644431932601,34.42788148582076]}"
178,4272,16.538082122802734,"{""type"":""Point"",""coordinates"":[-117.33101122380442,34.33953712131418]}"
179,4273,22.42940902709961,"{""type"":""Point"",""coordinates"":[-117.26685572123468,34.30438573449422]}"
180,4274,9.455839157104492,"{""type"":""Point"",""coordinates"":[-117.26101961345492,34.264559002718286]}"
181,4275,15.71633243560791,"{""type"":""Point"",""coordinates"":[-117.29832461895764,34.2583923317776]}"
182,4276,1.4550080299377441,"{""type"":""Point"",""coordinates"":[-117.33494205288459,34.20580972901918]}"
183,4277,2.425248622894287,"{""type"":""Point"",""coordinates"":[-117.33275699462574,34.1871147116923]}"
184,4278,3.704791784286499,"{""type"":""Point"",""coordinates"":[-117.33151345258851,34.172755940914705]}"
185,4279,14.322009086608887,"{""type"":""Point"",""coordinates"":[-117.34096493353995,34.29134974085228]}"
186,4280,1.4542326927185059,"{""type"":""Point"",""coordinates"":[-117.3290739275674,34.12976040137117]}"
187,4281,6.559721946716309,"{""type"":""Point"",""coordinates"":[-117.3457109230467,34.18311419411236]}"
188,4282,0.0,"{""type"":""Point"",""coordinates"":[-117.3373639338902,34.17951186828158]}"
189,4283,0.0,"{""type"":""Point"",""coordinates"":[-117.32702910434655,34.110771329947205]}"
190,4284,5.707631587982178,"{""type"":""Point"",""coordinates"":[-117.35215922611916,34.08754667666064]}"
191,4285,6.420977592468262,"{""type"":""Point"",""coordinates"":[-117.33282643572527,34.094908072996766]}"
192,4286,5.547544956207275,"{""type"":""Point"",""coordinates"":[-117.33293566511755,34.09222782351364]}"
